Object,Filter,MJD,Flux,Error
1H2106-099,r,58726.257580, 8.802, 0.045
1H2106-099,r,58726.259275, 8.827, 0.045
1H2106-099,r,58727.070538, 8.811, 0.045
1H2106-099,r,58727.072230, 8.804, 0.045
1H2106-099,r,58727.204359, 8.806, 0.045
1H2106-099,r,58727.206040, 8.788, 0.045
1H2106-099,r,58728.232943, 8.825, 0.045
1H2106-099,r,58728.234629, 8.815, 0.045
1H2106-099,r,58730.158111, 8.818, 0.045
1H2106-099,r,58730.159814, 8.828, 0.045
1H2106-099,r,58732.232718, 8.578, 0.069
1H2106-099,r,58732.234425, 8.741, 0.050
1H2106-099,r,58744.155446, 8.854, 0.045
1H2106-099,r,58744.157149, 8.848, 0.045
1H2106-099,r,58746.031079, 8.862, 0.045
1H2106-099,r,58746.032783, 8.881, 0.045
1H2106-099,r,58746.164433, 8.834, 0.045
1H2106-099,r,58746.166137, 8.879, 0.045
1H2106-099,r,58753.108269, 8.580, 0.045
1H2106-099,r,58753.109968, 8.563, 0.045
1H2106-099,r,58755.101790, 8.477, 0.045
1H2106-099,r,58755.103516, 8.460, 0.045
1H2106-099,r,58756.021821, 8.410, 0.045
1H2106-099,r,58756.023522, 8.411, 0.045
1H2106-099,r,58758.111146, 8.268, 0.045
1H2106-099,r,58758.112847, 8.284, 0.045
1H2106-099,r,58763.021881, 8.233, 0.046
1H2106-099,r,58763.022874, 8.244, 0.046
1H2106-099,r,58766.016680, 8.486, 0.046
1H2106-099,r,58766.018373, 8.454, 0.046
1H2106-099,r,58766.112661, 8.615, 0.047
1H2106-099,r,58766.114365, 8.583, 0.047
1H2106-099,r,58767.140424, 8.798, 0.155
1H2106-099,r,58771.130557, 8.871, 0.164
1H2106-099,r,58771.132302, 8.749, 0.089
1H2106-099,r,58774.098251, 8.715, 0.046
1H2106-099,r,58774.099255, 8.701, 0.046
1H2106-099,r,58775.085395, 8.728, 0.045
1H2106-099,r,58775.087093, 8.694, 0.045
1H2106-099,r,58775.113408, 8.727, 0.045
1H2106-099,r,58775.115099, 8.718, 0.045
1H2106-099,r,58777.122584, 8.849, 0.046
1H2106-099,r,58777.123592, 8.812, 0.046
1H2106-099,r,58663.391181, 8.426, 0.048
1H2106-099,r,58663.392873, 8.360, 0.048
1H2106-099,r,58665.393760, 8.259, 0.049
1H2106-099,r,58665.394758, 8.248, 0.049
1H2106-099,r,58670.442239, 7.902, 0.055
1H2106-099,r,58670.443943, 7.916, 0.051
1H2106-099,r,58690.397049, 8.216, 0.048
1H2106-099,r,58690.398753, 8.230, 0.048
1H2106-099,r,58692.358008, 8.167, 0.048
1H2106-099,r,58692.359711, 8.068, 0.066
1H2106-099,r,58702.358549, 8.517, 0.112
1H2106-099,r,58704.344811, 8.282, 0.048
1H2106-099,r,58704.346503, 8.298, 0.048
1H2106-099,r,58705.357790, 8.324, 0.048
1H2106-099,r,58705.359483, 8.320, 0.048
1H2106-099,r,58715.335325, 8.522, 0.049
1H2106-099,r,58715.337029, 8.523, 0.049
1H2106-099,r,58721.229983, 8.339, 0.123
1H2106-099,r,58721.231687, 8.690, 0.048
1H2106-099,r,58722.236407, 8.720, 0.048
1H2106-099,r,58724.231699, 8.722, 0.063
1H2106-099,r,58724.233391, 8.830, 0.058
1H2106-099,r,58730.267502, 8.780, 0.048
1H2106-099,r,58730.269218, 8.766, 0.050
1H2106-099,r,58731.266627, 8.789, 0.049
1H2106-099,r,58731.268326, 8.784, 0.049
1H2106-099,r,58733.280680, 8.784, 0.048
1H2106-099,r,58733.282376, 8.785, 0.048
1H2106-099,r,58755.186699, 8.402, 0.055
1H2106-099,r,58755.188391, 8.403, 0.055
1H2106-099,r,58685.369187, 8.162, 0.069
1H2106-099,r,58685.370902, 8.153, 0.069
1H2106-099,r,58689.331393, 8.133, 0.070
1H2106-099,r,58689.333097, 8.185, 0.070
1H2106-099,r,58689.386541, 8.258, 0.068
1H2106-099,r,58689.388234, 8.239, 0.068
1H2106-099,r,58693.392217, 8.059, 0.068
1H2106-099,r,58693.393922, 8.091, 0.068
1H2106-099,r,58694.267170, 8.117, 0.068
1H2106-099,r,58694.268865, 8.094, 0.068
1H2106-099,r,58694.386454, 8.079, 0.068
1H2106-099,r,58694.388149, 8.075, 0.068
1H2106-099,r,58697.383018, 8.098, 0.068
1H2106-099,r,58697.384722, 8.093, 0.068
1H2106-099,r,58698.379203, 8.253, 0.068
1H2106-099,r,58698.380907, 8.261, 0.069
1H2106-099,r,58701.219939, 8.187, 0.068
1H2106-099,r,58701.221636, 8.155, 0.068
1H2106-099,r,58719.310801, 9.073, 0.247
1H2106-099,r,58719.311798, 8.843, 0.134
1H2106-099,r,58720.174229, 8.608, 0.068
1H2106-099,r,58720.175937, 8.615, 0.068
1H2106-099,r,58720.216384, 8.660, 0.068
1H2106-099,r,58720.218075, 8.667, 0.068
1H2106-099,r,58722.294741, 8.705, 0.068
1H2106-099,r,58722.296434, 8.727, 0.068
1H2106-099,r,58776.143746, 8.803, 0.069
1H2106-099,r,58776.145440, 8.796, 0.069
1H2106-099,r,58784.139825, 9.669, 0.195
1H2106-099,r,58788.137328, 8.912, 0.069
1H2106-099,r,58788.138337, 8.913, 0.069
1H2106-099,r,58657.324917, 8.298, 0.033
1H2106-099,r,58657.326603, 8.332, 0.033
1H2106-099,r,58657.385498, 8.288, 0.036
1H2106-099,r,58657.386499, 8.302, 0.036
1H2106-099,r,58659.336937, 8.415, 0.033
1H2106-099,r,58659.338622, 8.394, 0.033
1H2106-099,r,58659.428136, 8.415, 0.033
1H2106-099,r,58659.429831, 8.385, 0.033
1H2106-099,r,58660.303121, 8.415, 0.033
1H2106-099,r,58660.304814, 8.410, 0.033
1H2106-099,r,58662.176009, 8.344, 0.033
1H2106-099,r,58662.177691, 8.366, 0.033
1H2106-099,r,58665.374503, 8.311, 0.032
1H2106-099,r,58665.376189, 8.289, 0.032
1H2106-099,r,58666.258164, 8.193, 0.032
1H2106-099,r,58666.259851, 8.193, 0.032
1H2106-099,r,58667.403966, 8.118, 0.033
1H2106-099,r,58667.405651, 8.162, 0.033
1H2106-099,r,58671.268495, 7.927, 0.122
1H2106-099,r,58671.270245, 7.834, 0.080
1H2106-099,r,58675.178119, 7.727, 0.033
1H2106-099,r,58675.179810, 7.721, 0.033
1H2106-099,r,58675.214719, 7.701, 0.033
1H2106-099,r,58675.216407, 7.703, 0.033
1H2106-099,r,58676.138045, 7.715, 0.033
1H2106-099,r,58676.139738, 7.730, 0.033
1H2106-099,r,58677.298521, 7.716, 0.033
1H2106-099,r,58677.300217, 7.725, 0.033
1H2106-099,r,58679.184914, 7.817, 0.040
1H2106-099,r,58679.185911, 7.794, 0.040
1H2106-099,r,58680.127135, 7.828, 0.039
1H2106-099,r,58680.128839, 7.783, 0.039
1H2106-099,r,58681.248288, 7.935, 0.038
1H2106-099,r,58681.249980, 7.927, 0.038
1H2106-099,r,58684.329552, 8.040, 0.035
1H2106-099,r,58684.331245, 8.053, 0.035
1H2106-099,r,58688.268391, 8.217, 0.033
1H2106-099,r,58688.270098, 8.238, 0.033
1H2106-099,r,58695.270046, 8.056, 0.032
1H2106-099,r,58695.271739, 8.061, 0.032
1H2106-099,r,58695.330641, 8.081, 0.034
1H2106-099,r,58695.331648, 8.087, 0.034
1H2106-099,r,58703.069333, 8.217, 0.033
1H2106-099,r,58703.071030, 8.195, 0.033
1H2106-099,r,58706.066552, 7.988, 0.069
1H2106-099,r,58706.068248, 8.234, 0.037
1H2106-099,r,58707.145461, 8.330, 0.035
1H2106-099,r,58707.147154, 8.313, 0.035
1H2106-099,r,58719.135013, 8.611, 0.033
1H2106-099,r,58719.136708, 8.648, 0.033
1H2106-099,r,58727.165584, 8.791, 0.033
1H2106-099,r,58727.167265, 8.759, 0.033
1H2106-099,r,58727.216785, 8.761, 0.034
1H2106-099,r,58727.217794, 8.799, 0.034
1H2106-099,r,58729.191563, 8.809, 0.033
1H2106-099,r,58729.193251, 8.791, 0.033
1H2106-099,r,58731.231530, 8.912, 0.034
1H2106-099,r,58731.233218, 8.928, 0.037
1H2106-099,r,58733.978888, 8.681, 0.035
1H2106-099,r,58733.980577, 8.714, 0.035
1H2106-099,r,58734.004316, 8.735, 0.034
1H2106-099,r,58734.006022, 8.707, 0.034
1H2106-099,r,58734.114585, 8.731, 0.033
1H2106-099,r,58734.116280, 8.771, 0.033
1H2106-099,r,58740.131262, 8.843, 0.036
1H2106-099,r,58740.132965, 8.855, 0.036
1H2106-099,r,58740.217513, 8.660, 0.041
1H2106-099,r,58740.219210, 8.676, 0.041
1H2106-099,r,58741.991347, 8.798, 0.033
1H2106-099,r,58741.993039, 8.819, 0.033
1H2106-099,r,58743.107598, 8.812, 0.033
1H2106-099,r,58743.109293, 8.820, 0.033
1H2106-099,r,58744.169176, 8.826, 0.035
1H2106-099,r,58744.170184, 8.852, 0.035
1H2106-099,r,58745.114016, 8.848, 0.033
1H2106-099,r,58745.115705, 8.858, 0.033
1H2106-099,r,58747.087801, 8.822, 0.033
1H2106-099,r,58747.089500, 8.850, 0.033
1H2106-099,r,58747.187791, 8.836, 0.033
1H2106-099,r,58747.189482, 8.842, 0.033
1H2106-099,r,58751.035035, 8.683, 0.035
1H2106-099,r,58751.036032, 8.664, 0.035
1H2106-099,r,58751.179072, 8.746, 0.033
1H2106-099,r,58751.180766, 8.708, 0.033
1H2106-099,r,58752.126105, 8.672, 0.033
1H2106-099,r,58752.127803, 8.679, 0.033
1H2106-099,r,58755.100931, 8.438, 0.034
1H2106-099,r,58755.101924, 8.441, 0.034
1H2106-099,r,58756.169032, 8.400, 0.033
1H2106-099,r,58756.170724, 8.411, 0.033
1H2106-099,r,58757.030401, 8.310, 0.033
1H2106-099,r,58757.032093, 8.290, 0.033
1H2106-099,r,58762.024382, 8.317, 0.033
1H2106-099,r,58762.026074, 8.310, 0.033
1H2106-099,r,58762.085748, 8.375, 0.033
1H2106-099,r,58762.087436, 8.388, 0.033
1H2106-099,r,58772.126173, 8.553, 0.051
1H2106-099,r,58772.127867, 8.820, 0.064
1H2106-099,r,58773.002097, 8.635, 0.033
1H2106-099,r,58773.003800, 8.660, 0.033
1H2106-099,r,58774.016264, 8.672, 0.033
1H2106-099,r,58774.017957, 8.682, 0.033
1H2106-099,r,58774.085733, 8.703, 0.033
1H2106-099,r,58774.087425, 8.717, 0.033
1H2106-099,r,58774.130317, 8.698, 0.035
1H2106-099,r,58774.131314, 8.713, 0.035
1H2106-099,r,58776.009255, 8.861, 0.033
1H2106-099,r,58776.010949, 8.861, 0.033
1H2106-099,r,58777.015018, 8.832, 0.033
1H2106-099,r,58777.016699, 8.826, 0.033
1H2106-099,r,58662.368322, 8.360, 0.036
1H2106-099,r,58662.369931, 8.348, 0.036
1H2106-099,r,58662.380806, 8.338, 0.036
1H2106-099,r,58662.382498, 8.339, 0.036
1H2106-099,r,58664.381422, 8.363, 0.036
1H2106-099,r,58664.383108, 8.321, 0.036
1H2106-099,r,58668.355246, 8.047, 0.036
1H2106-099,r,58668.356936, 8.023, 0.036
1H2106-099,r,58669.364887, 8.041, 0.036
1H2106-099,r,58669.366579, 8.038, 0.036
1H2106-099,r,58671.219707, 7.899, 0.048
1H2106-099,r,58671.220716, 7.833, 0.049
1H2106-099,r,58673.350122, 7.717, 0.048
1H2106-099,r,58673.351809, 7.789, 0.039
1H2106-099,r,58676.332531, 7.696, 0.036
1H2106-099,r,58676.334223, 7.690, 0.036
1H2106-099,r,58684.234009, 7.950, 0.040
1H2106-099,r,58684.235007, 7.956, 0.040
1H2106-099,r,58699.298443, 8.219, 0.036
1H2106-099,r,58699.300132, 8.233, 0.036
1H2106-099,r,58700.228251, 8.239, 0.036
1H2106-099,r,58700.229943, 8.248, 0.036
1H2106-099,r,58704.274647, 8.233, 0.036
1H2106-099,r,58704.276351, 8.246, 0.036
1H2106-099,r,58705.113690, 8.294, 0.036
1H2106-099,r,58705.115387, 8.301, 0.036
1H2106-099,r,58705.135298, 8.266, 0.036
1H2106-099,r,58705.136989, 8.274, 0.036
1H2106-099,r,58712.064287, 8.399, 0.039
1H2106-099,r,58712.065979, 8.419, 0.039
1H2106-099,r,58712.096091, 8.442, 0.041
1H2106-099,r,58712.097100, 8.422, 0.041
1H2106-099,r,58716.226698, 8.578, 0.036
1H2106-099,r,58716.228379, 8.547, 0.036
1H2106-099,r,58721.274545, 8.719, 0.036
1H2106-099,r,58721.276237, 8.722, 0.036
1H2106-099,r,58723.249553, 8.766, 0.036
1H2106-099,r,58723.251233, 8.746, 0.036
1H2106-099,r,58725.004556, 8.783, 0.036
1H2106-099,r,58725.006236, 8.787, 0.036
1H2106-099,r,58725.191924, 8.791, 0.036
1H2106-099,r,58725.193617, 8.813, 0.036
1H2106-099,r,58726.060241, 8.719, 0.036
1H2106-099,r,58726.061925, 8.737, 0.036
1H2106-099,r,58727.101839, 8.737, 0.036
1H2106-099,r,58727.103532, 8.751, 0.036
1H2106-099,r,58729.210560, 8.817, 0.036
1H2106-099,r,58729.212252, 8.821, 0.036
1H2106-099,r,58739.107362, 8.772, 0.045
1H2106-099,r,58739.109051, 8.840, 0.050
1H2106-099,r,58739.170554, 8.815, 0.056
1H2106-099,r,58739.172248, 8.624, 0.086
1H2106-099,r,58740.219193, 8.763, 0.048
1H2106-099,r,58740.220198, 8.826, 0.049
1H2106-099,r,58741.101775, 8.800, 0.037
1H2106-099,r,58741.103466, 8.800, 0.037
1H2106-099,r,58744.200589, 8.907, 0.038
1H2106-099,r,58744.201598, 8.914, 0.038
1H2106-099,r,58748.107273, 8.818, 0.036
1H2106-099,r,58748.108966, 8.811, 0.036
1H2106-099,r,58748.201824, 8.909, 0.037
1H2106-099,r,58748.202821, 8.833, 0.037
1H2106-099,r,58749.011825, 8.534, 0.107
1H2106-099,r,58749.013518, 9.473, 0.260
1H2106-099,r,58750.178134, 8.762, 0.036
1H2106-099,r,58750.179823, 8.776, 0.036
1H2106-099,r,58754.027535, 8.536, 0.036
1H2106-099,r,58754.029230, 8.536, 0.036
1H2106-099,r,58759.157070, 8.218, 0.049
1H2106-099,r,58759.158762, 8.156, 0.050
1H2106-099,r,58761.120799, 8.292, 0.036
1H2106-099,r,58761.122490, 8.325, 0.036
1H2106-099,r,58766.130398, 8.586, 0.044
1H2106-099,r,58766.131400, 8.516, 0.044
1H2106-099,r,58778.050982, 8.869, 0.036
1H2106-099,r,58778.052678, 8.816, 0.036
1H2106-099,r,58780.114371, 8.946, 0.042
1H2106-099,r,58780.116074, 8.803, 0.053
1H2106-099,r,58781.067563, 8.921, 0.037
1H2106-099,r,58781.068560, 8.922, 0.037
1H2106-099,r,58781.094752, 8.896, 0.036
1H2106-099,r,58781.096444, 8.902, 0.036
1H2106-099,r,58653.615846, 8.209, 0.065
1H2106-099,r,58653.617550, 8.203, 0.065
1H2106-099,r,58660.741862, 8.418, 0.064
1H2106-099,r,58660.743566, 8.383, 0.064
1H2106-099,r,58661.733742, 8.355, 0.065
1H2106-099,r,58661.734752, 8.370, 0.065
1H2106-099,r,58662.788899, 8.321, 0.064
1H2106-099,r,58662.790604, 8.332, 0.064
1H2106-099,r,58673.697157, 7.705, 0.064
1H2106-099,r,58673.698874, 7.709, 0.064
1H2106-099,r,58675.543990, 7.701, 0.064
1H2106-099,r,58675.545696, 7.738, 0.064
1H2106-099,r,58679.520418, 8.276, 0.120
1H2106-099,r,58679.522124, 8.248, 0.113
1H2106-099,r,58679.579340, 8.478, 0.170
1H2106-099,r,58679.581046, 8.490, 0.173
1H2106-099,r,58684.709170, 8.075, 0.065
1H2106-099,r,58684.710874, 8.114, 0.065
1H2106-099,r,58688.522066, 8.208, 0.064
1H2106-099,r,58688.523760, 8.213, 0.064
1H2106-099,r,58691.485693, 8.219, 0.064
1H2106-099,r,58691.487397, 8.215, 0.064
1H2106-099,r,58691.507422, 8.198, 0.065
1H2106-099,r,58691.509128, 8.405, 0.069
1H2106-099,r,58691.657388, 8.163, 0.064
1H2106-099,r,58691.659093, 8.176, 0.064
1H2106-099,r,58697.694750, 8.148, 0.064
1H2106-099,r,58697.696455, 8.160, 0.064
1H2106-099,r,58698.698626, 8.011, 0.064
1H2106-099,r,58698.700342, 8.008, 0.064
1H2106-099,r,58699.664193, 8.209, 0.064
1H2106-099,r,58699.665897, 8.200, 0.064
1H2106-099,r,58700.563693, 8.216, 0.064
1H2106-099,r,58700.565409, 8.190, 0.064
1H2106-099,r,58700.701036, 8.230, 0.064
1H2106-099,r,58700.702752, 8.230, 0.064
1H2106-099,u,58731.799045, 3.354, 0.019
1H2106-099,u,58731.806296, 3.399, 0.019
1H2106-099,u,58732.791908, 3.352, 0.019
1H2106-099,u,58732.799165, 3.335, 0.019
1H2106-099,u,58762.854148, 3.048, 0.021
1H2106-099,u,58762.861402, 3.074, 0.025
1H2106-099,u,58796.796096, 3.371, 0.019
1H2106-099,u,58796.803358, 3.330, 0.020
1H2106-099,u,58800.780081, 3.373, 0.019
1H2106-099,u,58800.787348, 3.408, 0.019
1H2106-099,u,58675.890411, 2.684, 0.008
1H2106-099,u,58675.897653, 2.695, 0.008
1H2106-099,u,58698.871428, 3.078, 0.008
1H2106-099,u,58698.878680, 3.106, 0.008
1H2106-099,u,58704.806001, 3.123, 0.009
1H2106-099,u,58704.813245, 3.120, 0.009
1H2106-099,u,58707.925306, 3.205, 0.010
1H2106-099,u,58707.932562, 3.210, 0.010
1H2106-099,u,58715.864358, 3.361, 0.008
1H2106-099,u,58715.871615, 3.365, 0.008
1H2106-099,u,58739.773309, 3.424, 0.033
1H2106-099,u,58687.739906, 2.952, 0.014
1H2106-099,u,58687.747157, 2.987, 0.014
1H2106-099,u,58691.618392, 2.943, 0.013
1H2106-099,u,58691.625644, 2.941, 0.013
1H2106-099,u,58702.663912, 3.054, 0.023
1H2106-099,u,58759.378253, 2.912, 0.014
1H2106-099,u,58759.385509, 2.911, 0.014
1H2106-099,u,58793.400758, 3.436, 0.015
1H2106-099,u,58793.408021, 3.436, 0.015
1H2106-099,u,58793.431769, 3.403, 0.015
1H2106-099,u,58793.439028, 3.395, 0.015
1H2106-099,u,58769.741114, 3.226, 0.007
1H2106-099,u,58769.748369, 3.220, 0.007
1H2106-099,u,58763.007474, 3.039, 0.026
1H2106-099,u,58763.014726, 3.069, 0.018
1H2106-099,u,58774.083823, 3.263, 0.022
1H2106-099,u,58774.091078, 3.263, 0.022
1H2106-099,u,58777.108206, 3.346, 0.019
1H2106-099,u,58777.115451, 3.324, 0.024
1H2106-099,u,58665.379347, 3.051, 0.021
1H2106-099,u,58665.386591, 3.017, 0.018
1H2106-099,u,58702.344159, 3.037, 0.019
1H2106-099,u,58702.351427, 3.070, 0.020
1H2106-099,u,58719.296376, 3.444, 0.018
1H2106-099,u,58719.303633, 3.335, 0.069
1H2106-099,u,58788.122821, 3.545, 0.006
1H2106-099,u,58788.130101, 3.544, 0.006
1H2106-099,u,58657.371065, 3.138, 0.012
1H2106-099,u,58657.378309, 3.118, 0.017
1H2106-099,u,58679.170502, 2.770, 0.014
1H2106-099,u,58679.177758, 2.766, 0.015
1H2106-099,u,58695.316201, 2.854, 0.017
1H2106-099,u,58695.323445, 2.876, 0.011
1H2106-099,u,58727.202361, 3.413, 0.015
1H2106-099,u,58727.209606, 3.420, 0.013
1H2106-099,u,58744.154774, 3.439, 0.011
1H2106-099,u,58744.162018, 3.419, 0.016
1H2106-099,u,58751.020611, 3.268, 0.012
1H2106-099,u,58751.027864, 3.254, 0.016
1H2106-099,u,58755.086503, 3.020, 0.015
1H2106-099,u,58755.093750, 3.025, 0.013
1H2106-099,u,58774.115845, 3.267, 0.014
1H2106-099,u,58774.123137, 3.267, 0.014
1H2106-099,u,58671.205283, 2.659, 0.024
1H2106-099,u,58671.212538, 2.673, 0.024
1H2106-099,u,58684.219628, 2.992, 0.023
1H2106-099,u,58684.226873, 2.911, 0.023
1H2106-099,u,58712.081680, 3.195, 0.025
1H2106-099,u,58712.088933, 3.192, 0.025
1H2106-099,u,58740.204761, 3.474, 0.030
1H2106-099,u,58740.212008, 3.372, 0.030
1H2106-099,u,58744.186130, 3.453, 0.023
1H2106-099,u,58744.193374, 3.398, 0.023
1H2106-099,u,58748.187434, 3.357, 0.022
1H2106-099,u,58748.194681, 3.371, 0.022
1H2106-099,u,58766.115966, 3.195, 0.025
1H2106-099,u,58766.123223, 3.189, 0.025
1H2106-099,u,58781.053162, 3.462, 0.022
1H2106-099,u,58781.060412, 3.485, 0.022
1H2106-099,u,58661.719330, 3.075, 0.019
1H2106-099,u,58661.726575, 3.044, 0.019
1H2106-099,z,58676.890310, 9.463, 0.082
1H2106-099,z,58676.893404, 9.441, 0.082
1H2106-099,z,58677.077884, 9.440, 0.082
1H2106-099,z,58677.080967, 9.460, 0.082
1H2106-099,z,58678.112056, 9.502, 0.082
1H2106-099,z,58678.115174, 9.476, 0.082
1H2106-099,z,58679.882291, 9.794, 0.093
1H2106-099,z,58679.885363, 9.767, 0.093
1H2106-099,z,58690.000381, 9.990, 0.082
1H2106-099,z,58690.003464, 9.951, 0.082
1H2106-099,z,58698.074884, 9.933, 0.082
1H2106-099,z,58698.077967, 9.931, 0.082
1H2106-099,z,58699.079333, 9.949, 0.082
1H2106-099,z,58699.082417, 9.921, 0.082
1H2106-099,z,58704.942002,11.313, 0.298
1H2106-099,z,58705.811368,10.012, 0.084
1H2106-099,z,58705.814451,10.010, 0.084
1H2106-099,z,58712.827142,10.041, 0.086
1H2106-099,z,58712.830235,10.005, 0.086
1H2106-099,z,58715.870104,10.547, 0.082
1H2106-099,z,58715.873199,10.189, 0.082
1H2106-099,z,58717.944915,10.296, 0.082
1H2106-099,z,58717.947999,10.277, 0.082
1H2106-099,z,58718.779750,10.335, 0.082
1H2106-099,z,58718.782833,10.346, 0.082
1H2106-099,z,58719.807403,10.222, 0.082
1H2106-099,z,58719.810490,10.268, 0.082
1H2106-099,z,58720.770476,10.279, 0.082
1H2106-099,z,58720.773559,10.254, 0.082
1H2106-099,z,58722.020002,10.333, 0.088
1H2106-099,z,58726.779817,10.320, 0.082
1H2106-099,z,58726.782900,10.318, 0.082
1H2106-099,z,58727.779809,10.371, 0.082
1H2106-099,z,58727.782881,10.424, 0.082
1H2106-099,z,58731.817741,10.628, 0.092
1H2106-099,z,58732.772133,10.387, 0.083
1H2106-099,z,58732.775218,10.460, 0.083
1H2106-099,z,58732.810953,10.371, 0.085
1H2106-099,z,58732.812648,10.357, 0.085
1H2106-099,z,58734.732582,10.486, 0.087
1H2106-099,z,58734.735665,10.469, 0.087
1H2106-099,z,58734.759960,10.455, 0.087
1H2106-099,z,58734.763043,10.419, 0.087
1H2106-099,z,58751.837524,10.534, 0.082
1H2106-099,z,58751.840599,10.533, 0.082
1H2106-099,z,58753.741129,10.350, 0.082
1H2106-099,z,58753.744213,10.346, 0.082
1H2106-099,z,58762.844429,10.024, 0.084
1H2106-099,z,58762.847521,10.045, 0.083
1H2106-099,z,58767.806285,10.346, 0.083
1H2106-099,z,58767.809380,10.287, 0.083
1H2106-099,z,58768.752029,10.322, 0.082
1H2106-099,z,58768.755119,10.332, 0.082
1H2106-099,z,58769.749478,10.308, 0.082
1H2106-099,z,58769.752564,10.296, 0.082
1H2106-099,z,58770.750200,10.291, 0.082
1H2106-099,z,58770.753299,10.269, 0.082
1H2106-099,z,58771.770621,10.364, 0.083
1H2106-099,z,58771.773706,10.375, 0.082
1H2106-099,z,58772.811539,10.395, 0.082
1H2106-099,z,58772.814621,10.401, 0.082
1H2106-099,z,58781.816768,10.682, 0.084
1H2106-099,z,58781.819862,10.713, 0.083
1H2106-099,z,58796.815236,10.642, 0.085
1H2106-099,z,58796.816927,10.683, 0.085
1H2106-099,z,58800.799176,10.747, 0.085
1H2106-099,z,58800.800868,10.685, 0.085
1H2106-099,z,58675.909531, 9.528, 0.093
1H2106-099,z,58675.911224, 9.519, 0.093
1H2106-099,z,58677.887822, 9.555, 0.093
1H2106-099,z,58677.890896, 9.522, 0.092
1H2106-099,z,58678.884974, 9.442, 0.095
1H2106-099,z,58678.888052, 9.393, 0.095
1H2106-099,z,58679.123893, 9.565, 0.091
1H2106-099,z,58679.126971, 9.550, 0.091
1H2106-099,z,58681.026028,10.192, 0.551
1H2106-099,z,58681.029111, 8.810, 0.392
1H2106-099,z,58684.968318, 9.808, 0.092
