Object,Filter,MJD,Flux,Error
1H2106-099,z,58684.971390, 9.828, 0.092
1H2106-099,z,58690.895201, 9.949, 0.090
1H2106-099,z,58690.898278, 9.976, 0.090
1H2106-099,z,58692.055589, 9.655, 0.103
1H2106-099,z,58692.058766, 9.708, 0.091
1H2106-099,z,58692.949632, 9.863, 0.091
1H2106-099,z,58692.952715, 9.877, 0.091
1H2106-099,z,58693.095240, 9.893, 0.091
1H2106-099,z,58693.098347, 9.861, 0.091
1H2106-099,z,58698.890504, 9.851, 0.092
1H2106-099,z,58698.892188, 9.890, 0.092
1H2106-099,z,58704.825131,10.015, 0.094
1H2106-099,z,58704.826823, 9.973, 0.093
1H2106-099,z,58707.944401,10.051, 0.097
1H2106-099,z,58707.946093,10.216, 0.097
1H2106-099,z,58707.975685,10.274, 0.093
1H2106-099,z,58707.978757,10.090, 0.092
1H2106-099,z,58711.802789,10.254, 0.101
1H2106-099,z,58711.805880,10.275, 0.101
1H2106-099,z,58713.806232,10.222, 0.092
1H2106-099,z,58713.809315,10.143, 0.093
1H2106-099,z,58715.010073,10.207, 0.091
1H2106-099,z,58715.013158,10.114, 0.091
1H2106-099,z,58715.883440,10.208, 0.093
1H2106-099,z,58715.885124,10.246, 0.093
1H2106-099,z,58717.022623,10.144, 0.091
1H2106-099,z,58717.025706,10.178, 0.091
1H2106-099,z,58723.960192,10.413, 0.091
1H2106-099,z,58723.963287,10.420, 0.091
1H2106-099,z,58749.862238,10.610, 0.090
1H2106-099,z,58749.865311,10.607, 0.090
1H2106-099,z,58752.901834,10.373, 0.091
1H2106-099,z,58752.904928,10.354, 0.091
1H2106-099,z,58759.882635,10.007, 0.090
1H2106-099,z,58759.885723, 9.953, 0.090
1H2106-099,z,58768.856978,10.315, 0.091
1H2106-099,z,58768.860050,10.413, 0.091
1H2106-099,z,58660.696390,10.067, 0.065
1H2106-099,z,58660.699488,10.056, 0.065
1H2106-099,z,58664.779882,10.633, 0.100
1H2106-099,z,58664.782965,10.281, 0.067
1H2106-099,z,58665.698485,10.834, 0.152
1H2106-099,z,58666.729400,10.084, 0.067
1H2106-099,z,58666.732498,10.076, 0.066
1H2106-099,z,58684.692872, 9.985, 0.068
1H2106-099,z,58684.695967,10.125, 0.068
1H2106-099,z,58686.694153, 9.938, 0.065
1H2106-099,z,58686.697250, 9.900, 0.065
1H2106-099,z,58686.719401, 9.913, 0.065
1H2106-099,z,58686.722485, 9.970, 0.066
1H2106-099,z,58687.759060,10.029, 0.070
1H2106-099,z,58687.760753,10.065, 0.070
1H2106-099,z,58688.578515, 9.928, 0.066
1H2106-099,z,58688.581612,10.008, 0.066
1H2106-099,z,58690.745214, 9.997, 0.065
1H2106-099,z,58690.748323, 9.975, 0.065
1H2106-099,z,58691.637537, 9.927, 0.067
1H2106-099,z,58691.639240, 9.937, 0.067
1H2106-099,z,58691.701722, 9.895, 0.065
1H2106-099,z,58691.704808, 9.893, 0.065
1H2106-099,z,58696.716258, 9.804, 0.065
1H2106-099,z,58696.719345, 9.775, 0.065
1H2106-099,z,58701.578919, 9.943, 0.065
1H2106-099,z,58701.582018, 9.945, 0.065
1H2106-099,z,58703.467331, 9.924, 0.065
1H2106-099,z,58703.470417, 9.941, 0.065
1H2106-099,z,58707.578846, 9.986, 0.066
1H2106-099,z,58707.581933,10.015, 0.066
1H2106-099,z,58714.557514,10.191, 0.065
1H2106-099,z,58714.560600,10.131, 0.065
1H2106-099,z,58714.690221,10.324, 0.067
1H2106-099,z,58714.693308,10.262, 0.067
1H2106-099,z,58728.629818,10.416, 0.065
1H2106-099,z,58728.632905,10.379, 0.065
1H2106-099,z,58731.585475,10.412, 0.065
1H2106-099,z,58731.588562,10.442, 0.065
1H2106-099,z,58733.501222,10.420, 0.065
1H2106-099,z,58733.504307,10.437, 0.065
1H2106-099,z,58739.584045, 9.919, 0.155
1H2106-099,z,58739.587132,10.038, 0.125
1H2106-099,z,58740.551519,10.452, 0.069
1H2106-099,z,58740.554604,10.415, 0.069
1H2106-099,z,58741.540220,10.516, 0.066
1H2106-099,z,58741.543315,10.490, 0.066
1H2106-099,z,58741.594763,10.483, 0.067
1H2106-099,z,58741.597858,10.511, 0.067
1H2106-099,z,58745.554240,10.571, 0.066
1H2106-099,z,58745.557335,10.596, 0.066
1H2106-099,z,58748.529652,10.626, 0.065
1H2106-099,z,58748.532747,10.624, 0.065
1H2106-099,z,58749.442342,10.545, 0.065
1H2106-099,z,58749.445440,10.546, 0.065
1H2106-099,z,58751.462742,10.470, 0.065
1H2106-099,z,58751.465829,10.477, 0.065
1H2106-099,z,58752.472875,10.493, 0.065
1H2106-099,z,58752.475959,10.464, 0.065
1H2106-099,z,58758.534049,10.094, 0.065
1H2106-099,z,58758.537137,10.090, 0.065
1H2106-099,z,58759.397384, 9.969, 0.069
1H2106-099,z,58759.399089,10.070, 0.069
1H2106-099,z,58760.387292,10.091, 0.066
1H2106-099,z,58760.390376,10.047, 0.066
1H2106-099,z,58761.560998,10.012, 0.067
1H2106-099,z,58761.564085,10.049, 0.067
1H2106-099,z,58762.426446,10.065, 0.067
1H2106-099,z,58762.429532,10.130, 0.067
1H2106-099,z,58766.467530,10.334, 0.071
1H2106-099,z,58766.470660,10.388, 0.071
1H2106-099,z,58768.397586,10.177, 0.068
1H2106-099,z,58768.399429,10.165, 0.110
1H2106-099,z,58769.518333,10.432, 0.072
1H2106-099,z,58769.521417,10.309, 0.074
1H2106-099,z,58770.492702,10.257, 0.067
1H2106-099,z,58770.495795,10.140, 0.077
1H2106-099,z,58771.421188,10.362, 0.066
1H2106-099,z,58771.424272,10.360, 0.066
1H2106-099,z,58773.448640,10.369, 0.065
1H2106-099,z,58776.439341,10.523, 0.066
1H2106-099,z,58776.442443,10.421, 0.066
1H2106-099,z,58777.463928,10.474, 0.065
1H2106-099,z,58777.467014,10.548, 0.065
1H2106-099,z,58778.461334,10.544, 0.065
1H2106-099,z,58778.464420,10.525, 0.065
1H2106-099,z,58779.400278,10.581, 0.066
1H2106-099,z,58779.403373,10.842, 0.068
1H2106-099,z,58782.424149,10.506, 0.067
1H2106-099,z,58782.427235,10.494, 0.067
1H2106-099,z,58783.461359,10.505, 0.066
1H2106-099,z,58783.464454,10.505, 0.066
1H2106-099,z,58787.436728,10.593, 0.069
1H2106-099,z,58787.439812,10.751, 0.068
1H2106-099,z,58793.419911,10.722, 0.073
1H2106-099,z,58793.421617,10.828, 0.073
1H2106-099,z,58793.450943,10.723, 0.073
1H2106-099,z,58793.452649,10.685, 0.073
1H2106-099,z,58658.096165,10.078, 0.069
1H2106-099,z,58658.099235,10.078, 0.069
1H2106-099,z,58664.106837,10.105, 0.068
1H2106-099,z,58664.109915,10.084, 0.068
1H2106-099,z,58668.114059,10.059, 0.068
1H2106-099,z,58668.117172,10.093, 0.069
1H2106-099,z,58674.010237, 9.557, 0.068
1H2106-099,z,58674.013309, 9.566, 0.068
1H2106-099,z,58696.835723, 9.879, 0.068
1H2106-099,z,58696.838805, 9.917, 0.068
1H2106-099,z,58701.929871, 9.895, 0.068
1H2106-099,z,58701.932948, 9.860, 0.068
1H2106-099,z,58713.035265, 9.991, 0.077
1H2106-099,z,58713.038337,10.010, 0.077
1H2106-099,z,58714.046797,10.026, 0.071
1H2106-099,z,58714.049881,10.049, 0.071
1H2106-099,z,58721.904230,10.350, 0.068
1H2106-099,z,58721.907320,10.358, 0.068
1H2106-099,z,58729.860422,10.509, 0.068
1H2106-099,z,58729.863505,10.510, 0.068
1H2106-099,z,58743.806367,10.363, 0.068
1H2106-099,z,58743.809450,10.353, 0.068
1H2106-099,z,58748.830194,10.567, 0.067
1H2106-099,z,58748.833277,10.563, 0.067
1H2106-099,z,58752.844569,10.441, 0.068
1H2106-099,z,58756.776263,10.195, 0.067
1H2106-099,z,58756.779347,10.129, 0.067
1H2106-099,z,58757.791607,10.091, 0.067
1H2106-099,z,58757.794688,10.123, 0.067
1H2106-099,z,58760.762479,10.149, 0.068
1H2106-099,z,58760.765567,10.147, 0.068
1H2106-099,z,58766.806358,10.369, 0.069
1H2106-099,z,58766.809441,10.332, 0.069
1H2106-099,z,58769.760217,10.262, 0.070
1H2106-099,z,58769.761906,10.244, 0.070
1H2106-099,z,58774.763078,10.525, 0.067
1H2106-099,z,58774.766155,10.524, 0.068
1H2106-099,z,58775.771479,10.429, 0.068
1H2106-099,z,58775.774551,10.407, 0.068
1H2106-099,z,58777.783056,10.571, 0.068
1H2106-099,z,58777.786141,10.553, 0.068
1H2106-099,z,58787.831418,10.746, 0.068
1H2106-099,z,58787.834528,10.642, 0.068
1H2106-099,z,58726.265414,10.497, 0.056
1H2106-099,z,58726.268488,10.472, 0.056
1H2106-099,z,58727.078361,10.483, 0.056
1H2106-099,z,58727.081433,10.453, 0.057
1H2106-099,z,58727.212155,10.509, 0.056
1H2106-099,z,58727.215240,10.521, 0.056
1H2106-099,z,58728.240772,10.479, 0.056
1H2106-099,z,58728.243849,10.452, 0.056
1H2106-099,z,58730.165931,10.468, 0.057
1H2106-099,z,58730.169009,10.420, 0.059
1H2106-099,z,58732.240611,10.528, 0.080
1H2106-099,z,58744.163246,10.531, 0.057
1H2106-099,z,58744.166338,10.500, 0.057
1H2106-099,z,58746.038903,10.598, 0.056
1H2106-099,z,58746.041986,10.609, 0.056
1H2106-099,z,58746.172257,10.538, 0.056
1H2106-099,z,58746.175340,10.568, 0.056
1H2106-099,z,58753.116171,10.329, 0.056
1H2106-099,z,58753.119322,10.274, 0.064
1H2106-099,z,58755.109647,10.226, 0.056
1H2106-099,z,58755.112731,10.197, 0.056
1H2106-099,z,58756.029651,10.168, 0.057
1H2106-099,z,58756.032729,10.156, 0.057
1H2106-099,z,58758.118964,10.082, 0.056
1H2106-099,z,58758.122054,10.100, 0.056
1H2106-099,z,58763.026551,10.168, 0.062
1H2106-099,z,58763.028252,10.112, 0.062
1H2106-099,z,58766.024504,10.413, 0.060
1H2106-099,z,58766.027599,10.374, 0.062
1H2106-099,z,58766.120786,10.372, 0.063
1H2106-099,z,58766.123880,10.317, 0.062
1H2106-099,z,58767.151336, 9.195, 0.480
1H2106-099,z,58771.138433,10.354, 0.063
1H2106-099,z,58771.141516,10.310, 0.060
1H2106-099,z,58774.102955,10.370, 0.059
1H2106-099,z,58774.104656,10.372, 0.059
1H2106-099,z,58777.127279,10.557, 0.060
1H2106-099,z,58777.128971,10.525, 0.060
1H2106-099,z,58663.398981,10.128, 0.129
1H2106-099,z,58663.402064,10.169, 0.129
1H2106-099,z,58665.398433,10.108, 0.131
1H2106-099,z,58665.400126,10.020, 0.131
1H2106-099,z,58670.450051, 9.692, 0.130
1H2106-099,z,58670.453146, 9.698, 0.130
1H2106-099,z,58690.404890, 9.983, 0.129
1H2106-099,z,58690.407985, 9.956, 0.129
1H2106-099,z,58692.365810,10.342, 0.131
1H2106-099,z,58692.368905,11.182, 0.261
1H2106-099,z,58704.352623, 9.964, 0.129
1H2106-099,z,58704.355706, 9.955, 0.129
1H2106-099,z,58705.365613, 9.900, 0.129
1H2106-099,z,58705.368692, 9.894, 0.129
1H2106-099,z,58715.343149,10.188, 0.129
1H2106-099,z,58715.346221,10.234, 0.129
1H2106-099,z,58721.237813,10.310, 0.129
1H2106-099,z,58721.240897,10.364, 0.129
1H2106-099,z,58722.244258,10.425, 0.129
1H2106-099,z,58722.247342,10.452, 0.129
1H2106-099,z,58730.275315,10.372, 0.129
1H2106-099,z,58730.278387,10.379, 0.129
1H2106-099,z,58731.274240,10.262, 0.130
1H2106-099,z,58733.288499,10.439, 0.129
1H2106-099,z,58733.291571,10.485, 0.129
1H2106-099,z,58755.194522,10.292, 0.129
1H2106-099,z,58755.197617,10.323, 0.129
1H2106-099,z,58685.377034, 9.799, 0.175
1H2106-099,z,58685.380117, 9.824, 0.175
1H2106-099,z,58689.394481,10.083, 0.177
1H2106-099,z,58689.397599,10.362, 0.183
1H2106-099,z,58693.400029, 9.795, 0.175
1H2106-099,z,58693.403113, 9.816, 0.175
1H2106-099,z,58694.274979, 9.834, 0.175
1H2106-099,z,58694.278067, 9.795, 0.175
1H2106-099,z,58694.394293, 9.853, 0.175
1H2106-099,z,58694.397371, 9.859, 0.175
1H2106-099,z,58697.390883, 9.730, 0.175
1H2106-099,z,58697.393962, 9.748, 0.175
1H2106-099,z,58698.387075, 9.897, 0.175
1H2106-099,z,58698.390147, 9.898, 0.176
1H2106-099,z,58701.227773, 9.779, 0.175
1H2106-099,z,58701.230858, 9.770, 0.175
1H2106-099,z,58719.315495,11.391, 0.221
1H2106-099,z,58719.317187,11.448, 0.396
1H2106-099,z,58720.182071,10.156, 0.175
1H2106-099,z,58720.185157,10.204, 0.175
1H2106-099,z,58720.224215,10.464, 0.175
1H2106-099,z,58720.227312,10.325, 0.175
1H2106-099,z,58722.302599,10.460, 0.175
1H2106-099,z,58722.305683,10.376, 0.175
1H2106-099,z,58784.147655,12.257, 0.339
1H2106-099,z,58784.150740,12.456, 0.388
1H2106-099,z,58788.142069,10.750, 0.176
1H2106-099,z,58788.143762,10.624, 0.176
1H2106-099,z,58657.332698,10.158, 0.091
1H2106-099,z,58657.335776,10.135, 0.091
1H2106-099,z,58657.390222,10.005, 0.094
1H2106-099,z,58657.391913,10.029, 0.094
1H2106-099,z,58659.344724,10.098, 0.092
1H2106-099,z,58659.347806,10.107, 0.091
1H2106-099,z,58659.435942,10.023, 0.092
1H2106-099,z,58659.439029,10.092, 0.092
1H2106-099,z,58660.310921,10.093, 0.091
1H2106-099,z,58660.314017,10.115, 0.091
1H2106-099,z,58662.183786, 9.984, 0.091
1H2106-099,z,58662.186869,10.026, 0.091
1H2106-099,z,58665.382280, 9.928, 0.091
1H2106-099,z,58665.385367,10.000, 0.091
1H2106-099,z,58666.265922,10.024, 0.091
1H2106-099,z,58666.269006,10.015, 0.091
1H2106-099,z,58667.411747,10.081, 0.091
1H2106-099,z,58667.414840,10.116, 0.091
1H2106-099,z,58671.276365,10.650, 0.189
1H2106-099,z,58671.279611,10.560, 0.167
1H2106-099,z,58675.185919, 9.424, 0.091
1H2106-099,z,58675.188999, 9.408, 0.091
1H2106-099,z,58675.222498, 9.519, 0.092
1H2106-099,z,58675.225581, 9.502, 0.092
1H2106-099,z,58676.145863, 9.423, 0.091
1H2106-099,z,58676.148941, 9.413, 0.091
1H2106-099,z,58677.306314, 9.450, 0.091
1H2106-099,z,58677.309402, 9.491, 0.091
1H2106-099,z,58679.189597, 9.598, 0.099
1H2106-099,z,58679.191313, 9.554, 0.099
1H2106-099,z,58680.134981, 9.536, 0.097
1H2106-099,z,58680.138064, 9.469, 0.097
1H2106-099,z,58681.256065, 9.853, 0.095
1H2106-099,z,58681.259148, 9.812, 0.095
1H2106-099,z,58684.337323, 9.803, 0.093
1H2106-099,z,58684.340405, 9.738, 0.093
1H2106-099,z,58688.276214,10.000, 0.091
1H2106-099,z,58688.279294,10.042, 0.091
1H2106-099,z,58695.277842, 9.820, 0.091
1H2106-099,z,58695.280921, 9.835, 0.091
1H2106-099,z,58695.335325, 9.687, 0.092
1H2106-099,z,58695.337015, 9.694, 0.092
1H2106-099,z,58703.077175, 9.905, 0.091
1H2106-099,z,58703.080250,10.056, 0.092
1H2106-099,z,58706.074333, 9.920, 0.095
1H2106-099,z,58706.077419,10.102, 0.104
1H2106-099,z,58707.153261, 9.901, 0.093
1H2106-099,z,58707.156344, 9.886, 0.093
1H2106-099,z,58719.142795,10.271, 0.091
1H2106-099,z,58719.145867,10.270, 0.091
1H2106-099,z,58727.173407,10.514, 0.091
1H2106-099,z,58727.176000,10.493, 0.092
1H2106-099,z,58727.221479,10.571, 0.092
1H2106-099,z,58727.223171,10.426, 0.092
1H2106-099,z,58729.199375,10.393, 0.091
1H2106-099,z,58729.202458,10.383, 0.091
1H2106-099,z,58731.239485,11.049, 0.126
1H2106-099,z,58731.241883,10.930, 0.096
1H2106-099,z,58733.986684,10.298, 0.093
1H2106-099,z,58733.989767,10.290, 0.093
1H2106-099,z,58734.012158,10.328, 0.093
1H2106-099,z,58734.015241,10.368, 0.093
1H2106-099,z,58734.122386,10.340, 0.091
1H2106-099,z,58734.125462,10.395, 0.091
1H2106-099,z,58740.139102,10.465, 0.093
1H2106-099,z,58740.142189,10.451, 0.093
1H2106-099,z,58740.225316,10.420, 0.099
1H2106-099,z,58740.228405,10.336, 0.098
1H2106-099,z,58741.999135,10.644, 0.091
1H2106-099,z,58742.002216,10.609, 0.091
1H2106-099,z,58743.115417,10.651, 0.092
1H2106-099,z,58743.118494,10.581, 0.091
1H2106-099,z,58744.173859,10.497, 0.093
1H2106-099,z,58744.175563,10.430, 0.093
1H2106-099,z,58745.121809,10.624, 0.091
1H2106-099,z,58745.124889,10.594, 0.091
1H2106-099,z,58747.095619,10.605, 0.091
1H2106-099,z,58747.098704,10.605, 0.091
1H2106-099,z,58747.195588,10.566, 0.091
1H2106-099,z,58747.198675,10.562, 0.091
1H2106-099,z,58751.039729,10.587, 0.093
1H2106-099,z,58751.041425,10.401, 0.093
1H2106-099,z,58751.186876,10.442, 0.091
1H2106-099,z,58751.189968,10.438, 0.091
1H2106-099,z,58752.133902,10.501, 0.091
1H2106-099,z,58752.136987,10.499, 0.091
1H2106-099,z,58755.105599,10.363, 0.092
1H2106-099,z,58755.107290,10.343, 0.092
1H2106-099,z,58756.176834,10.213, 0.091
1H2106-099,z,58756.179917,10.245, 0.091
1H2106-099,z,58757.038203,10.232, 0.091
1H2106-099,z,58757.041284,10.150, 0.091
1H2106-099,z,58762.032201, 9.897, 0.091
1H2106-099,z,58762.035277, 9.897, 0.091
1H2106-099,z,58762.093539,10.150, 0.091
1H2106-099,z,58762.096622,10.199, 0.091
1H2106-099,z,58772.133977,10.545, 0.150
1H2106-099,z,58772.137049,10.122, 0.169
1H2106-099,z,58773.009907,10.370, 0.091
1H2106-099,z,58773.012990,10.361, 0.091
1H2106-099,z,58774.024076,10.489, 0.091
1H2106-099,z,58774.027159,10.482, 0.091
1H2106-099,z,58774.093545,10.371, 0.091
1H2106-099,z,58774.096617,10.338, 0.091
1H2106-099,z,58774.135000,10.284, 0.093
1H2106-099,z,58774.136692,10.381, 0.093
1H2106-099,z,58776.017085,10.921, 0.092
1H2106-099,z,58776.020172,10.808, 0.092
1H2106-099,z,58777.022806,10.510, 0.092
1H2106-099,z,58777.025890,10.513, 0.091
1H2106-099,z,58662.388710,10.137, 0.113
1H2106-099,z,58662.391793,10.160, 0.119
1H2106-099,z,58664.389192,10.012, 0.111
1H2106-099,z,58664.392280,10.074, 0.111
1H2106-099,z,58668.363044, 9.765, 0.111
1H2106-099,z,58668.366124, 9.774, 0.111
1H2106-099,z,58669.372709, 9.937, 0.110
1H2106-099,z,58669.375793, 9.930, 0.110
1H2106-099,z,58671.224401,10.046, 0.159
1H2106-099,z,58671.226094,10.056, 0.161
1H2106-099,z,58673.357903, 9.562, 0.115
1H2106-099,z,58673.360994, 9.581, 0.113
1H2106-099,z,58676.340326, 9.320, 0.111
1H2106-099,z,58676.343410, 9.249, 0.111
1H2106-099,z,58684.238703, 9.703, 0.113
1H2106-099,z,58684.240397, 9.620, 0.113
1H2106-099,z,58699.306258, 9.895, 0.110
1H2106-099,z,58699.309336, 9.938, 0.111
1H2106-099,z,58700.236040, 9.973, 0.116
1H2106-099,z,58700.239123, 9.950, 0.111
1H2106-099,z,58704.282447, 9.900, 0.110
1H2106-099,z,58704.285542, 9.919, 0.110
1H2106-099,z,58705.121531, 9.993, 0.111
1H2106-099,z,58705.124602,10.001, 0.111
1H2106-099,z,58705.143101,10.021, 0.111
1H2106-099,z,58705.146181,10.029, 0.111
1H2106-099,z,58712.072075,10.074, 0.113
1H2106-099,z,58712.075160,10.068, 0.113
1H2106-099,z,58712.100786,10.161, 0.114
1H2106-099,z,58712.102474,10.216, 0.121
1H2106-099,z,58716.234487,10.239, 0.111
1H2106-099,z,58716.237570,10.238, 0.111
1H2106-099,z,58721.282350,10.346, 0.111
1H2106-099,z,58721.285434,10.334, 0.111
1H2106-099,z,58723.257364,10.429, 0.111
1H2106-099,z,58723.260447,10.456, 0.114
1H2106-099,z,58725.012367,10.568, 0.133
1H2106-099,z,58725.015451,10.633, 0.149
1H2106-099,z,58725.199736,10.376, 0.110
1H2106-099,z,58725.202808,10.426, 0.110
1H2106-099,z,58726.068016,10.245, 0.110
1H2106-099,z,58726.071097,10.259, 0.110
1H2106-099,z,58727.109639,10.345, 0.111
1H2106-099,z,58727.112723,10.285, 0.111
1H2106-099,z,58729.218341,10.503, 0.111
1H2106-099,z,58729.221429,10.500, 0.111
1H2106-099,z,58739.115161,10.283, 0.185
1H2106-099,z,58739.118249,10.420, 0.140
1H2106-099,z,58739.178358,10.929, 0.262
1H2106-099,z,58739.181447,10.509, 0.323
1H2106-099,z,58740.223894,10.221, 0.121
1H2106-099,z,58740.225591,10.255, 0.121
1H2106-099,z,58741.109569,10.471, 0.111
1H2106-099,z,58741.112660,10.462, 0.111
1H2106-099,z,58744.205283,10.700, 0.141
1H2106-099,z,58744.206976,10.793, 0.164
1H2106-099,z,58748.115065,10.621, 0.115
1H2106-099,z,58748.118152,10.635, 0.118
1H2106-099,z,58748.206502,10.604, 0.112
1H2106-099,z,58748.208194,10.663, 0.125
1H2106-099,z,58749.022686,10.781, 0.159
1H2106-099,z,58750.185935,10.546, 0.111
1H2106-099,z,58750.189007,10.564, 0.113
1H2106-099,z,58754.035319,10.394, 0.117
1H2106-099,z,58754.038404,10.384, 0.115
1H2106-099,z,58759.164874,10.058, 0.146
1H2106-099,z,58759.167962, 9.763, 0.133
1H2106-099,z,58761.128578, 9.985, 0.111
1H2106-099,z,58761.131659, 9.942, 0.111
1H2106-099,z,58766.135103,10.310, 0.115
1H2106-099,z,58766.136789,10.259, 0.115
1H2106-099,z,58778.058775,10.600, 0.112
1H2106-099,z,58778.061857,10.628, 0.120
1H2106-099,z,58780.122164,10.746, 0.137
1H2106-099,z,58780.125254,10.663, 0.116
1H2106-099,z,58781.072266,10.674, 0.115
1H2106-099,z,58781.073949,10.708, 0.123
1H2106-099,z,58781.102588,10.657, 0.111
1H2106-099,z,58781.105657,10.677, 0.115
1H2106-099,z,58653.623716,10.008, 0.101
1H2106-099,z,58653.626812,10.022, 0.101
1H2106-099,z,58660.749713,10.004, 0.099
1H2106-099,z,58660.752811, 9.960, 0.099
1H2106-099,z,58661.738453,10.013, 0.101
1H2106-099,z,58661.740147,10.050, 0.101
1H2106-099,z,58662.796740,10.002, 0.099
1H2106-099,z,58662.799885, 9.937, 0.099
1H2106-099,z,58673.705022, 9.481, 0.099
1H2106-099,z,58673.708105, 9.498, 0.099
1H2106-099,z,58675.551832, 9.599, 0.099
1H2106-099,z,58675.554907, 9.585, 0.099
1H2106-099,z,58679.587182,10.059, 0.111
1H2106-099,z,58679.590280, 9.855, 0.108
1H2106-099,z,58684.717017, 9.741, 0.101
1H2106-099,z,58684.720112, 9.695, 0.101
1H2106-099,z,58688.529619, 9.906, 0.100
1H2106-099,z,58691.493531,10.054, 0.100
1H2106-099,z,58691.496617,10.027, 0.099
1H2106-099,z,58691.515282, 9.982, 0.100
1H2106-099,z,58691.518400, 9.996, 0.099
1H2106-099,z,58691.665249, 9.915, 0.099
1H2106-099,z,58697.702601, 9.951, 0.099
1H2106-099,z,58697.705707, 9.951, 0.099
1H2106-099,z,58698.706487, 9.969, 0.099
1H2106-099,z,58698.709571, 9.923, 0.099
1H2106-099,z,58699.672039, 9.865, 0.099
1H2106-099,z,58699.675134, 9.811, 0.099
1H2106-099,z,58700.571540, 9.830, 0.099
1H2106-099,z,58700.574623, 9.859, 0.099
1H2106-099,z,58700.708884, 9.950, 0.099
1H2106-099,z,58700.711967, 9.997, 0.099
